Week,1,,
Team Name,Result,Margin,Opponent
Boston College,W,32,FCS145
Clemson,W,19,Georgia Tech
Duke,W,3,Notre Dame
Florida State,W,20,South Florida
Georgia Tech,L,-19,Clemson
Louisville,W,31,Marshall
Miami,B,,
North Carolina,W,1,Pittsburgh
NC State,B,,
Pittsburgh,L,-1,North Carolina
Syracuse,W,7,Connecticut
Virginia,W,14,Central Michigan
Virginia Tech,W,37,East Carolina
Wake Forest,W,5,Indiana
Cincinnati,W,7,Miami (OH)
Connecticut,L,-7,Syracuse
East Carolina,L,-37,Virginia Tech
Houston,W,61,Texas State
Memphis,W,74,Bowling Green
Navy,B,,
SMU,L,-30,TCU
South Florida,L,-20,Florida State
Temple,W,28,Charlotte
Tulane,W,2,Louisiana Lafayette
Tulsa,W,7,Fresno State
UCF,W,39,Florida International
Baylor,W,11,Oklahoma State
Iowa State,W,34,San Jose State
Kansas,B,,
Kansas State,W,35,FCS145
Oklahoma,B,,
Oklahoma State,L,-11,Baylor
TCU,W,30,SMU
Texas,B,,
Texas Tech,B,,
West Virginia,W,3,BYU
Illinois,B,,
Indiana,L,-5,Wake Forest
Iowa,W,7,Rutgers
Maryland,B,,
Michigan,W,39,Penn State
Michigan State,L,-24,Wisconsin
Minnesota,W,7,Colorado State
Nebraska,W,11,Northwestern
Northwestern,L,-11,Nebraska
Ohio State,B,,
Penn State,L,-39,Michigan
Purdue,W,10,Nevada
Rutgers,L,-7,Rutgers
Wisconsin,W,24,Michigan State
Charlotte,L,-28,Temple
Florida Atlantic,L,-4,Ball State
Florida International,L,-39,UCF
Louisiana Tech,L,-4,Middle Tennessee
Marshall,L,-31,Louisville
Middle Tennessee,W,4,Louisiana Tech
North Texas,W,7,Rice
Old Dominion,W,14,UTSA
Rice,L,-7,North Texas
Southern Mississippi,W,27,UTEP
UTEP,L,-27,Southern Mississippi
UTSA,L,-14,Old Dominion
Western Kentucky,L,-1,Vanderbilt
Army,L,-3,Buffalo
BYU,L,-3,West Virginia
Notre Dame,L,-3,Duke
UMass,L,-12,Mississippi State
Akron,L,-7,Appalachian State
Ball State,W,4,Florida Atlantic
Bowling Green,L,-74,Memphis
Buffalo,W,3,Army
Central Michigan,L,-14,Virginia
Eastern Michigan,W,3,Wyoming
Kent State,L,-48,Alabama
Miami (OH),L,-7,Cincinnati
Northern Illinois,L,-5,FCS129
Ohio,W,16,FCS145
Toledo,B,,
Western Michigan,W,18,Georgia Southern
Air Force,W,7,Utah State
Boise State,W,14,Oregon State
Colorado State,L,-7,Minnesota
Fresno State,L,-7,Tulsa
Hawaii,B,,
Nevada,L,-10,Purdue
New Mexico,B,,
San Diego State,B,,
San Jose State,L,-34,Iowa State
UNLV,L,-3,Idaho
Utah State,L,-7,Air Force
Wyoming,L,-3,Eastern Michigan
Arizona,L,-7,Washington
Arizona State,W,10,California
California,L,-10,Arizona State
Colorado,W,3,Oregon
Oregon,L,-3,Colorado
Oregon State,L,-14,Boise State
Stanford,W,9,UCLA
UCLA,L,-9,Stanford
USC,L,-4,Utah
Utah,W,4,USC
Washington,W,7,Arizona
Washington State,B,,
Alabama,W,48,Kent State
Arkansas,L,-21,Texas A&M
Auburn,W,5,LSU
Florida,L,-10,Tennessee
Georgia,L,-31,Ole Miss
Kentucky,W,7,South Carolina
LSU,L,-5,Auburn
Mississippi State,W,12,UMass
Missouri,W,79,FCS145
Ole Miss,W,31,Georgia
South Carolina,L,-7,Kentucky
Tennessee,W,10,Florida
Texas A&M,W,21,Arkansas
Vanderbilt,W,1,Western Kentucky
Appalachian State,W,7,Akron
Arkansas State,L,-5,FCS145
Georgia Southern,L,-18,Western Michigan
Georgia State,B,,
Idaho,W,3,UNLV
Louisiana Lafayette,L,-2,Tulane
Louisiana Monroe,B,,
New Mexico State,L,-46,Troy
South Alabama,W,1,FCS145
Texas State,L,-61,Houston
Troy,W,46,New Mexico State
