Rank,Team,Wins,Losses,Conference,Total Margin,Teams Played,Opinion,Win Percentage,Win Percentage Rank,Strength of Schedule Rank,SOS Raw,Margin Rank,Conference Strength,Previous
1,Michigan,4,0,Big-10,153,Hawaii;Ucf;Colorado;Penn State,3,1.0,1,30,63.75,5,13,2
2,Ohio State,3,0,Big-10,133,Bowling Green;Tulsa;Oklahoma,4,1.0,1,45,73.333336,1,13,4
3,Alabama,4,0,Sec,127,Usc;Western Kentucky;Ole Miss;Kent State,1,1.0,1,52,76.75,8,1,1
4,Louisville,4,0,Acc,164,Charlotte;Syracuse;Florida State;Marshall,2,1.0,1,43,71.75,4,39,3
5,Texas A&m,4,0,Sec,108,Ucla;Fcs145;Auburn;Arkansas,6,1.0,1,20,59.75,10,1,7
6,Clemson,4,0,Acc,90,Auburn;Troy;Fcs145;Georgia Tech,8,1.0,1,42,71.25,17,39,5
7,Houston,4,0,American,137,Oklahoma;Fcs145;Cincinnati;Texas State,5,1.0,1,88,87.5,6,65,8
8,Wisconsin,4,0,Big-10,76,Lsu;Akron;Georgia State;Michigan State,7,1.0,1,28,62.75,25,13,11
9,Miami,3,0,Acc,133,Fcs145;Florida Atlantic;Appalachian State,11,1.0,1,120,104.666664,1,39,12
10,Nebraska,4,0,Big-10,82,Fresno State;Wyoming;Oregon;Northwestern,14,1.0,1,78,84.25,21,13,9
11,Washington,4,0,Pac-12,125,Rutgers;Idaho;Fcs135;Arizona,13,1.0,1,111,97.25,9,26,13
12,Stanford,3,0,Pac-12,39,Kansas State;Usc;Ucla,10,1.0,1,15,55.0,41,26,6
13,Tennessee,4,0,Sec,47,Appalachian State;Virginia Tech;Ohio;Florida,9,1.0,1,19,58.75,42,1,10
14,Baylor,4,0,Big-12,93,Fcs145;Smu;Rice;Oklahoma State,15,1.0,1,104,92.25,15,52,20
15,Western Michigan,4,0,Mac,92,Northwestern;Fcs145;Illinois;Georgia Southern,22,1.0,1,102,91.5,16,91,26
16,Utah,4,0,Pac-12,46,Fcs136;Byu;San Jose State;Usc,17,1.0,1,94,89.5,45,26,19
17,Boise State,3,0,Mountain West,52,Louisiana Lafayette;Washington State;Oregon State,19,1.0,1,109,97.0,29,78,23
18,San Diego State,3,0,Mountain West,50,Fcs139;California;Northern Illinois,18,1.0,1,107,96.333336,31,78,24
19,West Virginia,3,0,Big-12,35,Missouri;Fcs131;Byu,21,1.0,1,80,85.0,44,52,25
20,Wake Forest,4,0,Acc,36,Tulane;Duke;Fcs139;Indiana,23,1.0,1,76,84.0,51,39,27
21,Memphis,3,0,American,128,Fcs138;Kansas;Bowling Green,42,1.0,1,127,121.0,3,65,48
22,Minnesota,3,0,Big-10,44,Oregon State;Fcs145;Colorado State,33,1.0,1,125,114.333336,34,13,40
23,Maryland,3,0,Big-10,72,Fcs145;Florida International;Ucf,48,1.0,1,124,114.0,14,13,50
24,Florida,3,1,Sec,77,Umass;Kentucky;North Texas;Tennessee,16,0.75,28,82,85.5,24,1,17
25,Toledo,3,0,Mac,98,Arkansas State;Fcs145;Fresno State,46,1.0,1,128,127.0,7,91,51
26,Arizona State,4,0,Pac-12,58,Fcs135;Texas Tech;Utsa;California,41,1.0,1,85,86.0,36,26,47
27,Florida State,3,1,Acc,32,Ole Miss;Fcs125;Louisville;South Florida,12,0.75,28,13,53.75,56,39,15
28,Colorado,3,1,Pac-12,72,Colorado State;Fcs145;Michigan;Oregon,25,0.75,28,41,70.75,27,26,31
29,Arkansas,3,1,Sec,22,Louisiana Tech;Tcu;Texas State;Texas A&m,20,0.75,28,22,61.5,62,1,14
30,Air Force,3,0,Mountain West,57,Fcs145;Georgia State;Utah State,52,1.0,1,126,118.666664,25,78,54
31,North Carolina,3,1,Acc,54,Georgia;Illinois;Fcs105;Pittsburgh,29,0.75,28,17,58.5,39,39,34
32,Navy,3,0,American,47,Fcs137;Connecticut;Tulane,56,1.0,1,117,101.0,33,65,57
33,South Florida,3,1,American,72,Fcs139;Northern Illinois;Syracuse;Florida State,32,0.75,28,88,87.5,27,65,29
34,Iowa,3,1,Big-10,68,Miami (oh);Iowa State;Fcs30;Rutgers,34,0.75,28,88,87.5,30,13,37
35,Virginia Tech,3,1,Acc,88,Fcs137;Tennessee;Boston College;East Carolina,43,0.75,28,63,79.75,18,39,45
36,Central Michigan,3,1,Mac,58,Fcs145;Oklahoma State;Unlv;Virginia,60,0.75,28,109,97.0,36,91,21
37,Georgia Southern,3,1,Sun Belt,53,Fcs145;South Alabama;Louisiana Monroe;Western Michigan,38,0.75,28,99,91.0,40,104,35
38,Georgia Tech,3,1,Acc,40,Boston College;Fcs145;Vanderbilt;Clemson,40,0.75,28,74,83.25,47,39,43
39,Georgia,3,1,Sec,-19,North Carolina;Fcs145;Missouri;Ole Miss,28,0.75,28,51,76.25,101,1,16
40,Troy,3,1,Sun Belt,86,Fcs145;Clemson;Southern Mississippi;New Mexico State,51,0.75,28,71,83.0,19,104,53
41,Texas,2,1,Big-12,30,Notre Dame;Utep;California,27,0.6666667,48,16,56.0,47,52,22
42,Tcu,3,1,Big-12,66,Fcs132;Arkansas;Iowa State;Smu,50,0.75,28,81,85.25,32,52,55
43,Indiana,2,1,Big-10,26,Florida International;Ball State;Wake Forest,26,0.6666667,48,47,75.666664,53,13,30
44,Army,3,1,Independent,81,Temple;Rice;Utep;Buffalo,68,0.75,28,122,110.75,22,117,46
45,Oklahoma State,2,2,Big-12,47,Fcs139;Central Michigan;Pittsburgh;Baylor,36,0.5,55,12,53.0,42,52,28
46,Southern Mississippi,3,1,Conference Usa,86,Kentucky;Fcs145;Troy;Utep,57,0.75,28,112,97.75,19,117,62
47,Tulsa,3,1,American,34,San Jose State;Ohio State;Fcs134;Fresno State,49,0.75,28,92,88.5,54,65,49
48,Michigan State,2,1,Big-10,-1,Fcs145;Notre Dame;Wisconsin,24,0.6666667,48,32,65.0,85,13,18
49,Cincinnati,3,1,American,22,Fcs145;Purdue;Houston;Miami (oh),47,0.75,28,98,90.75,62,65,52
50,Texas Tech,2,1,Big-12,79,Fcs137;Arizona State;Louisiana Tech,55,0.6666667,48,101,91.333336,11,52,60
51,Oregon,2,2,Pac-12,37,Fcs145;Virginia;Nebraska;Colorado,35,0.5,55,54,78.0,50,26,38
