Rank,Team,Wins,Losses,Conference,Total Margin,Teams Played,Opinion,Win Percentage,Win Percentage Rank,Strength of Schedule Rank,SOS Raw,Margin Rank,Conference Strength,Previous
1,MICHIGAN,5,0,BIG-10,192,HAWAII;UCF;COLORADO;PENN STATE;PENN STATE,3,1.0,1,36,65.6,6,13,1
2,TEXAS A&M,5,0,SEC,129,UCLA;FCS145;AUBURN;ARKANSAS;ARKANSAS,6,1.0,1,26,62.4,14,1,5
3,CLEMSON,5,0,ACC,109,AUBURN;TROY;FCS145;GEORGIA TECH;GEORGIA TECH,8,1.0,1,27,62.8,19,26,6
4,OHIO STATE,3,0,BIG-10,133,BOWLING GREEN;TULSA;OKLAHOMA,4,1.0,1,73,82.666664,2,13,2
5,TENNESSEE,5,0,SEC,57,APPALACHIAN STATE;VIRGINIA TECH;OHIO;FLORIDA;FLORIDA,9,1.0,1,9,49.0,41,1,13
6,LOUISVILLE,5,0,ACC,195,CHARLOTTE;SYRACUSE;FLORIDA STATE;MARSHALL;MARSHALL,2,1.0,1,78,84.8,5,26,4
7,WISCONSIN,5,0,BIG-10,100,LSU;AKRON;GEORGIA STATE;MICHIGAN STATE;MICHIGAN STATE,7,1.0,1,50,70.4,21,13,8
8,ALABAMA,5,0,SEC,175,USC;WESTERN KENTUCKY;OLE MISS;KENT STATE;KENT STATE,1,1.0,1,99,93.0,8,1,3
9,STANFORD,4,0,PAC-12,48,KANSAS STATE;USC;UCLA;UCLA,10,1.0,1,35,65.25,39,52,12
10,HOUSTON,5,0,AMERICAN,198,OKLAHOMA;FCS145;CINCINNATI;TEXAS STATE;TEXAS STATE,5,1.0,1,110,98.0,4,39,7
11,WASHINGTON,5,0,PAC-12,132,RUTGERS;IDAHO;FCS135;ARIZONA;ARIZONA,13,1.0,1,85,87.4,11,52,11
12,MIAMI,3,0,ACC,133,FCS145;FLORIDA ATLANTIC;APPALACHIAN STATE,11,1.0,1,124,110.333336,2,26,9
13,NEBRASKA,5,0,BIG-10,93,FRESNO STATE;WYOMING;OREGON;NORTHWESTERN;NORTHWESTERN,14,1.0,1,97,91.6,24,13,10
14,BAYLOR,5,0,BIG-12,104,FCS145;SMU;RICE;OKLAHOMA STATE;OKLAHOMA STATE,15,1.0,1,90,89.0,20,65,14
15,WESTERN MICHIGAN,5,0,MAC,110,NORTHWESTERN;FCS145;ILLINOIS;GEORGIA SOUTHERN;GEORGIA SOUTHERN,22,1.0,1,75,84.0,18,91,15
16,FLORIDA STATE,4,1,ACC,52,OLE MISS;FCS125;LOUISVILLE;SOUTH FLORIDA;SOUTH FLORIDA,12,0.8,28,14,50.6,43,26,27
17,WAKE FOREST,5,0,ACC,41,TULANE;DUKE;FCS139;INDIANA;INDIANA,23,1.0,1,52,72.4,49,26,20
18,BOISE STATE,4,0,MOUNTAIN WEST,66,LOUISIANA LAFAYETTE;WASHINGTON STATE;OREGON STATE;OREGON STATE,19,1.0,1,106,96.25,26,78,17
19,SAN DIEGO STATE,3,0,MOUNTAIN WEST,50,FCS139;CALIFORNIA;NORTHERN ILLINOIS,18,1.0,1,121,108.0,25,78,18
20,COLORADO,4,1,PAC-12,75,COLORADO STATE;FCS145;MICHIGAN;OREGON;OREGON,25,0.8,28,45,67.8,30,52,28
21,WEST VIRGINIA,4,0,BIG-12,38,MISSOURI;FCS131;BYU;BYU,21,1.0,1,99,93.0,47,65,19
22,FLORIDA,3,2,SEC,67,UMASS;KENTUCKY;NORTH TEXAS;TENNESSEE;TENNESSEE,16,0.6,45,39,66.6,37,1,24
23,UTAH,5,0,PAC-12,50,FCS136;BYU;SAN JOSE STATE;USC;USC,17,1.0,1,118,106.6,45,52,16
24,ARIZONA STATE,5,0,PAC-12,68,FCS135;TEXAS TECH;UTSA;CALIFORNIA;CALIFORNIA,41,1.0,1,76,84.2,36,52,26
25,MEMPHIS,4,0,AMERICAN,202,FCS138;KANSAS;BOWLING GREEN;BOWLING GREEN,42,1.0,1,127,120.5,1,39,21
26,NORTH CAROLINA,4,1,ACC,55,GEORGIA;ILLINOIS;FCS105;PITTSBURGH;PITTSBURGH,29,0.8,28,49,69.6,42,26,31
27,MINNESOTA,4,0,BIG-10,51,OREGON STATE;FCS145;COLORADO STATE;COLORADO STATE,33,1.0,1,119,106.75,38,13,22
28,ARKANSAS,3,2,SEC,1,LOUISIANA TECH;TCU;TEXAS STATE;TEXAS A&M;TEXAS A&M,20,0.6,45,17,52.4,78,1,29
29,MARYLAND,3,0,BIG-10,72,FCS145;FLORIDA INTERNATIONAL;UCF,48,1.0,1,125,112.0,16,13,23
30,VIRGINIA TECH,4,1,ACC,125,FCS137;TENNESSEE;BOSTON COLLEGE;EAST CAROLINA;EAST CAROLINA,43,0.8,28,62,76.4,15,26,35
31,IOWA,4,1,BIG-10,75,MIAMI (OH);IOWA STATE;FCS30;RUTGERS;RUTGERS,34,0.8,28,71,82.2,30,13,34
32,TOLEDO,3,0,MAC,98,ARKANSAS STATE;FCS145;FRESNO STATE,46,1.0,1,128,128.0,9,91,25
33,NAVY,3,0,AMERICAN,47,FCS137;CONNECTICUT;TULANE,56,1.0,1,104,96.0,28,39,32
34,AIR FORCE,4,0,MOUNTAIN WEST,64,FCS145;GEORGIA STATE;UTAH STATE;UTAH STATE,52,1.0,1,119,106.75,27,78,30
35,OLE MISS,3,2,SEC,71,FLORIDA STATE;FCS138;ALABAMA;GEORGIA;GEORGIA,44,0.6,45,10,49.2,35,1,58
36,SOUTH FLORIDA,3,2,AMERICAN,52,FCS139;NORTHERN ILLINOIS;SYRACUSE;FLORIDA STATE;FLORIDA STATE,32,0.6,45,66,79.4,43,39,33
37,AUBURN,3,2,SEC,28,CLEMSON;ARKANSAS STATE;TEXAS A&M;LSU;LSU,37,0.6,45,13,50.4,63,1,53
38,GEORGIA TECH,3,2,ACC,21,BOSTON COLLEGE;FCS145;VANDERBILT;CLEMSON;CLEMSON,40,0.6,45,32,64.4,66,26,38
39,TEXAS,2,1,BIG-12,30,NOTRE DAME;UTEP;CALIFORNIA,27,0.6666667,42,74,83.333336,45,65,41
40,TROY,4,1,SUN BELT,132,FCS145;CLEMSON;SOUTHERN MISSISSIPPI;NEW MEXICO STATE;NEW MEXICO STATE,51,0.8,28,86,87.8,11,104,40
41,TCU,4,1,BIG-12,96,FCS132;ARKANSAS;IOWA STATE;SMU;SMU,50,0.8,28,89,88.8,23,65,42
42,GEORGIA SOUTHERN,3,2,SUN BELT,35,FCS145;SOUTH ALABAMA;LOUISIANA MONROE;WESTERN MICHIGAN;WESTERN MICHIGAN,38,0.6,45,55,74.4,54,104,37
43,INDIANA,2,2,BIG-10,21,FLORIDA INTERNATIONAL;BALL STATE;WAKE FOREST;WAKE FOREST,26,0.5,72,21,57.25,65,13,43
44,GEORGIA,3,2,SEC,-50,NORTH CAROLINA;FCS145;MISSOURI;OLE MISS;OLE MISS,28,0.6,45,48,69.4,109,1,39
45,OKLAHOMA STATE,2,3,BIG-12,36,FCS139;CENTRAL MICHIGAN;PITTSBURGH;BAYLOR;BAYLOR,36,0.4,75,15,51.4,53,65,45
46,MISSOURI,3,2,SEC,182,WEST VIRGINIA;EASTERN MICHIGAN;GEORGIA;FCS145;FCS145,61,0.6,45,72,82.4,7,1,55
47,TEXAS TECH,2,1,BIG-12,79,FCS137;ARIZONA STATE;LOUISIANA TECH,55,0.6666667,42,88,88.666664,13,65,50
48,TULSA,4,1,AMERICAN,41,SAN JOSE STATE;OHIO STATE;FCS134;FRESNO STATE;FRESNO STATE,49,0.8,28,101,94.0,49,39,47
49,SOUTHERN MISSISSIPPI,4,1,CONFERENCE USA,113,KENTUCKY;FCS145;TROY;UTEP;UTEP,57,0.8,28,109,97.8,17,117,46
50,PITTSBURGH,2,3,ACC,15,FCS130;PENN STATE;OKLAHOMA STATE;NORTH CAROLINA;NORTH CAROLINA,31,0.4,75,24,59.8,68,26,54
51,UCLA,2,3,PAC-12,-1,TEXAS A&M;UNLV;BYU;STANFORD;STANFORD,30,0.4,75,7,45.2,81,52,56
52,OREGON,2,3,PAC-12,34,FCS145;VIRGINIA;NEBRASKA;COLORADO;COLORADO,35,0.4,75,33,65.0,56,52,51
53,CINCINNATI,4,1,AMERICAN,29,FCS145;PURDUE;HOUSTON;MIAMI (OH);MIAMI (OH),47,0.8,28,102,94.4,60,39,49
54,MICHIGAN STATE,2,2,BIG-10,-25,FCS145;NOTRE DAME;WISCONSIN;WISCONSIN,24,0.5,72,25,60.5,103,13,48
55,LSU,2,3,SEC,12,WISCONSIN;FCS85;MISSISSIPPI STATE;AUBURN;AUBURN,39,0.4,75,18,53.0,70,1,57
56,NC STATE,2,1,ACC,58,FCS110;EAST CAROLINA;OLD DOMINION,58,0.6666667,42,96,91.333336,22,26,59
57,KANSAS STATE,3,1,BIG-12,113,STANFORD;FLORIDA ATLANTIC;FCS145;FCS145,62,0.75,40,115,103.25,10,65,52
58,CALIFORNIA,2,3,PAC-12,2,HAWAII;SAN DIEGO STATE;TEXAS;ARIZONA STATE;ARIZONA STATE,45,0.4,75,6,44.8,77,52,60
59,UCF,3,2,AMERICAN,73,FCS145;MICHIGAN;MARYLAND;FLORIDA INTERNATIONAL;FLORIDA INTERNATIONAL,66,0.6,45,79,85.0,33,39,63
60,CENTRAL MICHIGAN,3,2,MAC,44,FCS145;OKLAHOMA STATE;UNLV;VIRGINIA;VIRGINIA,60,0.6,45,116,104.4,48,91,36
61,ARMY,3,2,INDEPENDENT,78,TEMPLE;RICE;UTEP;BUFFALO;BUFFALO,68,0.6,45,123,109.0,29,0,44
62,APPALACHIAN STATE,3,2,SUN BELT,-4,TENNESSEE;OLD DOMINION;MIAMI;AKRON;AKRON,67,0.6,45,19,54.0,83,104,75
63,TULANE,3,2,AMERICAN,38,WAKE FOREST;FCS145;NAVY;LOUISIANA LAFAYETTE;LOUISIANA LAFAYETTE,78,0.6,45,58,75.4,51,39,68
64,VANDERBILT,3,2,SEC,-9,SOUTH CAROLINA;MIDDLE TENNESSEE;GEORGIA TECH;WESTERN KENTUCKY;WESTERN KENTUCKY,73,0.6,45,38,66.2,88,1,73
65,BALL STATE,4,1,MAC,35,GEORGIA STATE;INDIANA;FCS138;FLORIDA ATLANTIC;FLORIDA ATLANTIC,71,0.8,28,117,105.0,54,91,61
66,MISSISSIPPI STATE,3,2,SEC,33,SOUTH ALABAMA;SOUTH CAROLINA;LSU;UMASS;UMASS,69,0.6,45,98,91.8,57,1,66
67,PENN STATE,2,3,BIG-10,-54,KENT STATE;PITTSBURGH;TEMPLE;MICHIGAN;MICHIGAN,63,0.4,75,11,50.0,111,13,62
68,DUKE,3,2,ACC,28,FCS145;WAKE FOREST;NORTHWESTERN;NOTRE DAME;NOTRE DAME,77,0.6,45,84,86.4,63,26,69
69,SYRACUSE,3,2,ACC,-19,FCS133;LOUISVILLE;SOUTH FLORIDA;CONNECTICUT;CONNECTICUT,74,0.6,45,42,67.2,97,26,79
70,ARIZONA,2,3,PAC-12,13,BYU;FCS137;HAWAII;WASHINGTON;WASHINGTON,65,0.4,75,53,73.0,69,52,65
71,OKLAHOMA,1,2,BIG-12,11,HOUSTON;LOUISIANA MONROE;OHIO STATE,54,0.33333334,97,5,39.0,67,65,82
72,EASTERN MICHIGAN,4,1,MAC,31,FCS145;MISSOURI;CHARLOTTE;WYOMING;WYOMING,90,0.8,28,110,98.0,58,91,64
73,PURDUE,3,1,BIG-10,23,FCS138;CINCINNATI;NEVADA;NEVADA,85,0.75,40,95,90.75,61,13,72
74,TEMPLE,3,2,AMERICAN,72,ARMY;FCS135;PENN STATE;CHARLOTTE;CHARLOTTE,89,0.6,45,105,96.2,34,39,76
75,KENTUCKY,3,2,SEC,-13,SOUTHERN MISSISSIPPI;FLORIDA;NEW MEXICO STATE;SOUTH CAROLINA;SOUTH CAROLINA,93,0.6,45,33,65.0,93,1,86
76,RUTGERS,2,3,BIG-10,-2,WASHINGTON;FCS145;NEW MEXICO;RUTGERS;RUTGERS,70,0.4,75,68,80.0,82,13,71
77,SOUTH CAROLINA,2,3,SEC,-19,VANDERBILT;MISSISSIPPI STATE;EAST CAROLINA;KENTUCKY;KENTUCKY,72,0.4,75,61,76.2,97,1,67
78,BYU,1,4,INDEPENDENT,-8,ARIZONA;UTAH;UCLA;WEST VIRGINIA;WEST VIRGINIA,53,0.2,107,4,35.0,86,1,93
79,NOTRE DAME,1,4,INDEPENDENT,12,TEXAS;NEVADA;MICHIGAN STATE;DUKE;DUKE,64,0.2,107,28,63.0,70,1,81
80,EAST CAROLINA,2,3,AMERICAN,-31,FCS145;NC STATE;SOUTH CAROLINA;VIRGINIA TECH;VIRGINIA TECH,76,0.4,75,47,68.2,102,39,70
81,MIDDLE TENNESSEE,3,2,CONFERENCE USA,60,FCS145;VANDERBILT;BOWLING GREEN;LOUISIANA TECH;LOUISIANA TECH,86,0.6,45,122,108.6,39,117,78
82,WESTERN KENTUCKY,2,3,CONFERENCE USA,9,RICE;ALABAMA;MIAMI (OH);VANDERBILT;VANDERBILT,82,0.4,75,67,79.8,74,117,74
83,AKRON,2,3,MAC,-8,FCS145;WISCONSIN;MARSHALL;APPALACHIAN STATE;APPALACHIAN STATE,75,0.4,75,69,80.4,86,91,77
84,USC,1,4,PAC-12,-33,ALABAMA;UTAH STATE;STANFORD;UTAH;UTAH,59,0.2,107,1,25.4,105,52,97
85,OHIO,3,2,MAC,37,TEXAS STATE;KANSAS;TENNESSEE;FCS145;FCS145,98,0.6,45,114,103.2,52,91,87
